fee_id,security_fee,other_fee,admission_year_1,admission_year_2,admission_year_3,admission_year_4,admission_year_5,admission_year_6,year_1_fee,year_2_fee,year_3_fee,year_4_fee,year_5_fee,year_6_fee,created_at,college_id,course_id,last_updated_by_id,session_id
236,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,35000,35000,0.0,0.0,0.0,0.0,,2,4411,,8
237,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,50000,50000,0.0,0.0,0.0,0.0,,1,6527,,8
238,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,35000,35000,35000.0,0.0,0.0,0.0,,2,2617,,8
239,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,35000,35000,35000.0,0.0,0.0,0.0,,2,9915,,8
240,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,50000,50000,0.0,0.0,0.0,0.0,,1,7679,,8
241,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,50000,50000,0.0,0.0,0.0,0.0,,1,8614,,8
242,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,35000,35000,0.0,0.0,0.0,0.0,,2,2685,,8
243,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,35000,35000,0.0,0.0,0.0,0.0,,2,3896,,8
244,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,50000,50000,0.0,0.0,0.0,0.0,,1,9422,,8
249,0.0,0.0,10000.0,10000.0,0.0,0.0,,,45000,45000,0.0,0.0,,,2024-01-23 07:51:42.139908+00:00,2,4893,,11
251,0.0,0.0,10000.0,,,,,,50000,50000,50000.0,50000.0,,,2024-03-02 08:04:13.976820+00:00,1,2155,,11
250,0.0,0.0,10000.0,,,,,,70000,70000,70000.0,70000.0,,,2024-03-02 07:48:12.104856+00:00,5,9982,,11
253,0.0,0.0,10000.0,,,,,,50000,50000,,,,,2024-03-02 08:30:07.806880+00:00,1,6476,,11
254,0.0,0.0,10000.0,,,,,,40000,40000,40000.0,,,,2024-03-02 08:31:14.401983+00:00,1,6526,,11
255,0.0,0.0,10000.0,,,,,,50000,50000,,,,,2024-03-02 08:32:03.532272+00:00,1,6527,,11
256,0.0,0.0,10000.0,,,,,,50000,50000,50000.0,,,,2024-03-02 08:33:14.834418+00:00,1,7492,,11
257,0.0,0.0,10000.0,,,,,,50000,50000,,,,,2024-03-02 08:33:46.385749+00:00,1,7679,,11
