id,reg_fee,sec_fee,tut_fee,other_fee,pre_bal,rebate,curr_year,student_id
1538,0.0,0.0,90000.0,0.0,0.0,0.0,1,10822
855,0.0,0.0,0.0,0.0,0.0,2000.0,2,10140
937,0.0,0.0,30000.0,0.0,0.0,0.0,3,10222
927,0.0,0.0,25000.0,0.0,0.0,0.0,3,10212
1042,0.0,0.0,0.0,0.0,0.0,0.0,2,10327
922,0.0,0.0,35000.0,0.0,0.0,0.0,3,10207
886,0.0,0.0,35000.0,0.0,0.0,0.0,3,10171
1001,0.0,0.0,0.0,0.0,0.0,0.0,2,10286
869,0.0,0.0,35500.0,0.0,0.0,0.0,3,10154
932,0.0,0.0,32000.0,0.0,0.0,0.0,2,10217
929,0.0,0.0,0.0,0.0,0.0,25000.0,2,10214
1512,0.0,0.0,58000.0,0.0,0.0,0.0,2,10796
881,,0.0,70000.0,0.0,0.0,0.0,2,10166
875,0.0,0.0,52000.0,0.0,0.0,0.0,3,10160
910,0.0,0.0,35000.0,0.0,0.0,0.0,3,10195
907,0.0,0.0,35000.0,0.0,0.0,35000.0,3,10192
951,0.0,0.0,0.0,0.0,0.0,0.0,2,10236
870,0.0,0.0,35000.0,0.0,0.0,0.0,3,10155
1048,0.0,0.0,0.0,0.0,0.0,2500.0,2,10333
882,0.0,0.0,35000.0,0.0,0.0,0.0,3,10167
963,0.0,0.0,0.0,0.0,0.0,0.0,2,10248
873,0.0,0.0,35000.0,0.0,0.0,0.0,3,10158
901,0.0,0.0,35000.0,0.0,0.0,0.0,3,10186
877,0.0,0.0,5000.0,0.0,0.0,0.0,2,10162
833,0.0,0.0,27000.0,0.0,0.0,0.0,3,10118
896,0.0,0.0,35000.0,0.0,0.0,0.0,3,10181
863,0.0,0.0,9000.0,0.0,0.0,0.0,1,10148
828,0.0,0.0,0.0,0.0,0.0,0.0,2,10113
934,0.0,0.0,30000.0,0.0,0.0,0.0,3,10219
867,0.0,0.0,54000.0,0.0,0.0,0.0,3,10152
1017,0.0,0.0,0.0,0.0,0.0,0.0,2,10302
933,0.0,0.0,0.0,0.0,0.0,0.0,2,10218
770,0.0,0.0,0.0,0.0,0.0,0.0,2,10055
