id,curr_year,promotion_date,status,duration,created_at,updated_at,modified_by_id,student_id
1993,2,,promoted,3,,,,10582
1994,2,,promoted,3,,,,10583
2006,2,,promoted,3,,,,10595
2008,2,,promoted,3,,,,10597
1978,2,,promoted,3,,,,10567
1922,2,,promoted,2,,,,10512
1927,2,,promoted,2,,,,10516
1928,2,,promoted,2,,,,10517
1929,2,,promoted,2,,,,10518
1930,2,,promoted,2,,,,10519
1947,2,,promoted,2,,,,10536
1933,2,,promoted,2,,,,10522
1937,2,,promoted,2,,,,10526
1941,2,,promoted,2,,,,10530
1942,2,,promoted,2,,,,10531
1943,2,,promoted,2,,,,10532
1946,2,,promoted,2,,,,10535
1948,2,,promoted,2,,,,10537
1931,2,,promoted,2,,,,10520
1934,2,,promoted,2,,,,10523
1951,2,,promoted,2,,,,10540
1954,2,,promoted,2,,,,10543
1958,2,,promoted,2,,,,10547
1955,2,,promoted,2,,,,10544
1956,2,,promoted,2,,,,10545
1896,2,,promoted,4,,,,10486
1949,2,,promoted,2,,2024-12-04 10:51:43.321922+00:00,,10538
1939,2,,promoted,2,,2024-12-04 11:43:39.355397+00:00,,10528
1953,2,,promoted,2,,2024-12-05 06:45:17.585427+00:00,,10542
1957,2,,promoted,2,,2024-12-05 06:49:10.005409+00:00,,10546
1910,2,,promoted,2,,2025-01-08 06:40:22.986108+00:00,,10500
1884,3,,promoted,4,,2025-02-01 09:21:50.106138+00:00,,10474
1846,3,,promoted,4,,2025-03-24 05:57:35.841368+00:00,,10436
1908,2,,promoted,2,,2025-03-27 09:13:51.208966+00:00,,10498
1911,2,,promoted,2,,2025-03-27 09:15:27.098666+00:00,,10501
1899,3,,promoted,4,,2025-04-30 06:16:00.466962+00:00,,10489
1860,3,,promoted,4,,2025-05-13 06:41:40.411305+00:00,,10450
1921,3,,promoted,3,,2025-05-15 07:43:50.056711+00:00,,10511
1919,2,,promoted,2,,2025-05-19 09:37:25.575329+00:00,,10509
1926,3,,promoted,3,,2025-05-22 07:53:10.684333+00:00,,10515
1892,3,,promoted,4,,2025-05-24 04:45:32.303943+00:00,,10482
1869,3,,promoted,4,,2025-05-27 05:00:40.314537+00:00,,10459
1894,3,,promoted,4,,2025-05-28 04:22:59.487681+00:00,,10484
1849,3,,promoted,4,,2025-05-28 04:49:46.227575+00:00,,10439
1897,3,,promoted,4,,2025-05-28 07:40:49.724032+00:00,,10487
1873,3,,promoted,4,,2025-05-29 09:41:38.384467+00:00,,10463
1968,3,,promoted,3,,2025-05-30 06:00:42.177829+00:00,,10557
2004,3,,promoted,3,,2025-05-30 06:18:31.594673+00:00,,10593
1876,3,,promoted,4,,2025-05-30 08:21:45.681627+00:00,,10466
1890,3,,promoted,4,,2025-06-02 06:01:15.556625+00:00,,10480
1898,3,,promoted,4,,2025-06-02 07:04:05.787342+00:00,,10488
1871,3,,promoted,4,,2025-06-02 08:29:45.803418+00:00,,10461
1870,3,,promoted,4,,2025-06-04 07:36:12.053319+00:00,,10460
1881,3,,promoted,4,,2025-06-06 04:12:32.375762+00:00,,10471
1868,3,,promoted,4,,2025-06-06 05:48:02.647300+00:00,,10458
1874,3,,promoted,4,,2025-06-06 06:26:17.723204+00:00,,10464
1877,3,,promoted,4,,2025-06-06 10:25:44.839415+00:00,,10467
1885,3,,promoted,4,,2025-06-07 04:46:14.997529+00:00,,10475
1866,3,,promoted,4,,2025-06-07 06:59:22.596202+00:00,,10456
1878,3,,promoted,4,,2025-06-09 09:59:24.963474+00:00,,10468
1976,3,,promoted,3,,2025-06-14 07:38:28.683357+00:00,,10565
2007,3,,promoted,3,,2025-08-27 08:19:26.121496+00:00,,10596
1916,2,,promoted,2,,,,10506
1935,2,,promoted,2,,,,10524
1938,2,,promoted,2,,,,10527
1940,2,,promoted,2,,,,10529
1944,2,,promoted,2,,,,10533
1945,2,,promoted,2,,,,10534
1895,2,,promoted,4,,,,10485
1902,2,,promoted,4,,,,10492
1903,2,,promoted,4,,,,10493
2011,1,,new_admission,3,,,,10600
2012,1,,new_admission,3,,,,10601
2014,1,,new_admission,3,,,,10603
2023,1,,new_admission,4,,,,10612
2024,1,,new_admission,4,,,,10613
2030,1,,new_admission,2,,,,10619
2031,1,,new_admission,2,,,,10620
2033,1,,new_admission,4,,,,10622
2034,1,,new_admission,4,,,,10623
1918,2,,promoted,2,,,,10508
1540,2,,promoted,3,,,,10130
1541,2,,promoted,3,,,,10131
1555,2,,promoted,3,,,,10145
2027,2,,promoted,3,,,,10616
1491,3,,promoted,3,,,,10081
2039,1,,new_admission,4,,,,10628
2040,1,,new_admission,3,,,,10629
2043,1,,new_admission,4,,,,10632
1783,2,,promoted,2,,,,10373
1784,2,,promoted,2,,,,10374
1787,2,,promoted,2,,,,10377
1788,2,,promoted,2,,,,10378
1789,2,,promoted,2,,,,10379
1791,2,,promoted,2,,,,10381
1792,2,,promoted,2,,,,10382
1795,2,,promoted,2,,,,10385
1796,2,,promoted,2,,,,10386
1797,2,,promoted,2,,,,10387
1798,2,,promoted,2,,,,10388
1800,2,,promoted,2,,,,10390
1802,2,,promoted,2,,,,10392
1804,2,,promoted,2,,,,10394
1799,2,,promoted,2,,,,10389
1805,2,,promoted,2,,,,10395
1806,2,,promoted,2,,,,10396
1808,2,,promoted,2,,,,10398
1809,2,,promoted,2,,,,10399
1811,2,,promoted,2,,,,10401
1813,2,,promoted,2,,,,10403
1814,2,,promoted,2,,,,10404
1816,2,,promoted,2,,,,10406
1817,2,,promoted,2,,,,10407
1818,2,,promoted,2,,,,10408
1819,2,,promoted,2,,,,10409
1820,2,,promoted,2,,,,10410
1822,2,,promoted,2,,,,10412
1823,2,,promoted,2,,,,10413
1824,2,,promoted,2,,,,10414
1826,2,,promoted,2,,,,10416
1828,2,,promoted,2,,,,10418
1829,2,,promoted,2,,,,10419
2037,2,,promoted,2,,,,10626
1739,2,,promoted,2,,,,10329
1741,2,,promoted,2,,,,10331
1744,2,,promoted,2,,,,10334
1745,2,,promoted,2,,,,10335
2052,1,,new_admission,4,,,,10641
2053,1,,new_admission,2,,,,10642
2054,1,,new_admission,2,,,,10643
2056,1,,new_admission,3,,,,10645
2016,3,,promoted,4,,2024-12-16 06:14:00.765459+00:00,,10605
2022,2,,promoted,4,,2024-12-17 10:46:53.777413+00:00,,10611
1533,3,,promoted,3,,2025-04-21 06:09:49.967207+00:00,,10123
1530,3,,promoted,3,,2025-05-01 05:34:57.870499+00:00,,10120
1546,3,,promoted,3,,2025-05-07 06:39:09.716429+00:00,,10136
1507,3,,promoted,3,,2025-05-10 09:09:19.881055+00:00,,10097
2047,2,,promoted,3,,2025-05-12 07:53:19.784360+00:00,,10636
1543,3,,promoted,3,,2025-05-14 04:48:42.812563+00:00,,10133
1554,3,,promoted,3,,2025-05-14 05:53:06.092676+00:00,,10144
2050,2,,promoted,3,,2025-05-14 06:53:13.785971+00:00,,10639
1545,3,,promoted,3,,2025-05-15 07:13:22.339078+00:00,,10135
1498,3,,promoted,3,,2025-05-15 09:19:40.081056+00:00,,10088
1542,3,,promoted,3,,2025-05-19 04:43:22.332854+00:00,,10132
1556,3,,promoted,3,,2025-05-19 05:42:17.097748+00:00,,10146
1531,3,,promoted,3,,2025-05-19 06:03:05.649797+00:00,,10121
1561,3,,promoted,3,,2025-05-19 06:13:49.205267+00:00,,10151
1549,3,,promoted,3,,2025-05-21 05:07:23.427839+00:00,,10139
2046,2,,promoted,2,,2025-05-23 06:16:55.516215+00:00,,10635
1494,3,,promoted,3,,2025-05-23 07:10:50.161495+00:00,,10084
1495,3,,promoted,3,,2025-05-26 06:20:19.282489+00:00,,10085
2045,2,,promoted,2,,2025-05-27 04:01:33.126882+00:00,,10634
1906,3,,promoted,4,,2025-05-29 07:32:37.533195+00:00,,10496
2041,2,,promoted,4,,2025-05-30 08:38:56.245030+00:00,,10630
1547,3,,promoted,3,,2025-05-31 06:43:28.452456+00:00,,10137
1505,3,,promoted,3,,2025-06-02 11:03:25.438466+00:00,,10095
1553,3,,promoted,3,,2025-06-03 05:22:09.794196+00:00,,10143
1907,3,,promoted,4,,2025-06-11 07:08:58.356589+00:00,,10497
2032,2,,promoted,4,,2025-06-14 07:13:00.167918+00:00,,10621
2042,2,,promoted,3,,2025-07-07 05:24:26.306348+00:00,,10631
2038,2,,promoted,2,,2025-07-18 04:33:38.156173+00:00,,10627
1904,3,,promoted,4,,2025-07-31 06:58:06.479546+00:00,,10494
2049,2,,promoted,2,,2025-08-05 07:57:55.321398+00:00,,10638
2051,2,,promoted,4,,2025-08-05 08:14:17.189129+00:00,,10640
1900,3,,promoted,4,,2025-08-20 06:12:14.901374+00:00,,10490
2057,1,,new_admission,3,,,,10646
2062,1,,new_admission,2,,,,10651
2019,2,,promoted,2,,,,10608
2028,2,,promoted,3,,,,10617
2010,2,,promoted,3,,,,10599
2009,2,,promoted,3,,,,10598
2013,2,,promoted,3,,,,10602
2035,2,,promoted,3,,,,10624
1551,3,,promoted,3,,,,10141
2067,1,,new_admission,2,,,,10656
2072,1,,new_admission,2,,,,10662
2073,1,,new_admission,4,,,,10663
2076,1,,new_admission,4,,,,10666
2077,1,,new_admission,4,,,,10667
2078,1,,new_admission,2,,,,10668
2079,1,,new_admission,4,,,,10669
2080,1,,new_admission,3,,,,10670
2082,1,,new_admission,2,,,,10672
2084,1,,new_admission,3,,,,10674
2089,1,,new_admission,3,,,,10679
2090,1,,new_admission,4,,,,10680
2092,1,,new_admission,4,,,,10682
2097,1,,new_admission,2,,,,10687
2098,1,,new_admission,2,,,,10688
2099,1,,new_admission,2,,,,10689
2101,1,,new_admission,2,,,,10691
2102,1,,new_admission,2,,,,10692
2104,1,,new_admission,2,,,,10694
2105,1,,new_admission,3,,,,10695
2017,2,,promoted,2,,,,10606
2018,2,,promoted,2,,,,10607
2020,2,,promoted,2,,,,10609
1754,2,,promoted,2,,,,10344
1758,2,,promoted,2,,,,10348
1757,2,,promoted,2,,,,10347
1759,2,,promoted,2,,,,10349
1760,2,,promoted,2,,,,10350
1764,2,,promoted,2,,,,10354
1765,2,,promoted,2,,,,10355
1767,2,,promoted,2,,,,10357
1768,2,,promoted,2,,,,10358
1769,2,,promoted,2,,,,10359
1960,2,,promoted,3,,,,10549
1961,2,,promoted,3,,,,10550
1964,2,,promoted,3,,,,10553
1965,2,,promoted,3,,,,10554
